2024-08-28 18:12:08,525 - DEBUG - Inserted route: ('A3', 'ATH', 'EFL')
2024-08-28 18:12:08,545 - DEBUG - Inserted route: ('A3', 'ATH', 'FCO')
2024-08-28 18:12:08,568 - DEBUG - Inserted route: ('A3', 'ATH', 'FRA')
2024-08-28 18:12:08,590 - DEBUG - Inserted route: ('A3', 'ATH', 'GVA')
2024-08-28 18:12:08,617 - DEBUG - Inserted route: ('A3', 'ATH', 'HBE')
2024-08-28 18:12:08,638 - DEBUG - Inserted route: ('A3', 'ATH', 'HER')
2024-08-28 18:12:08,662 - DEBUG - Inserted route: ('A3', 'ATH', 'IEV')
2024-08-28 18:12:08,682 - DEBUG - Inserted route: ('A3', 'ATH', 'IOA')
2024-08-28 18:12:08,706 - DEBUG - Inserted route: ('A3', 'ATH', 'IST')
2024-08-28 18:12:08,733 - DEBUG - Inserted route: ('A3', 'ATH', 'JIK')
2024-08-28 18:12:08,755 - DEBUG - Inserted route: ('A3', 'ATH', 'JKH')
2024-08-28 18:12:08,776 - DEBUG - Inserted route: ('A3', 'ATH', 'JKL')
2024-08-28 18:12:08,799 - DEBUG - Inserted route: ('A3', 'ATH', 'JMK')
2024-08-28 18:12:08,821 - DEBUG - Inserted route: ('A3', 'ATH', 'JNX')
2024-08-28 18:12:08,841 - DEBUG - Inserted route: ('A3', 'ATH', 'JSI')
2024-08-28 18:12:08,865 - DEBUG - Inserted route: ('A3', 'ATH', 'JSY')
2024-08-28 18:12:08,887 - DEBUG - Inserted route: ('A3', 'ATH', 'JTR')
2024-08-28 18:12:08,911 - DEBUG - Inserted route: ('A3', 'ATH', 'JTY')
2024-08-28 18:12:08,933 - DEBUG - Inserted route: ('A3', 'ATH', 'KGS')
2024-08-28 18:12:08,955 - DEBUG - Inserted route: ('A3', 'ATH', 'KIT')
2024-08-28 18:12:08,981 - DEBUG - Inserted route: ('A3', 'ATH', 'KVA')
2024-08-28 18:12:09,002 - DEBUG - Inserted route: ('A3', 'ATH', 'LCA')
2024-08-28 18:12:09,023 - DEBUG - Inserted route: ('A3', 'ATH', 'LED')
2024-08-28 18:12:09,042 - DEBUG - Inserted route: ('A3', 'ATH', 'LHR')
2024-08-28 18:12:09,065 - DEBUG - Inserted route: ('A3', 'ATH', 'LRS')
2024-08-28 18:12:09,093 - DEBUG - Inserted route: ('A3', 'ATH', 'LXS')
2024-08-28 18:12:09,116 - DEBUG - Inserted route: ('A3', 'ATH', 'LYS')
2024-08-28 18:12:09,140 - DEBUG - Inserted route: ('A3', 'ATH', 'MAD')
2024-08-28 18:12:09,166 - DEBUG - Inserted route: ('A3', 'ATH', 'MAN')
2024-08-28 18:12:09,185 - DEBUG - Inserted route: ('A3', 'ATH', 'MJT')
2024-08-28 18:12:09,209 - DEBUG - Inserted route: ('A3', 'ATH', 'MLO')
2024-08-28 18:12:09,230 - DEBUG - Inserted route: ('A3', 'ATH', 'MRS')
2024-08-28 18:12:09,250 - DEBUG - Inserted route: ('A3', 'ATH', 'MUC')
2024-08-28 18:12:09,269 - DEBUG - Inserted route: ('A3', 'ATH', 'MXP')
2024-08-28 18:12:09,289 - DEBUG - Inserted route: ('A3', 'ATH', 'NTE')
2024-08-28 18:12:09,312 - DEBUG - Inserted route: ('A3', 'ATH', 'OSL')
2024-08-28 18:12:09,333 - DEBUG - Inserted route: ('A3', 'ATH', 'OTP')
2024-08-28 18:12:09,355 - DEBUG - Inserted route: ('A3', 'ATH', 'PAS')
2024-08-28 18:12:09,381 - DEBUG - Inserted route: ('A3', 'ATH', 'PHL')
2024-08-28 18:12:09,401 - DEBUG - Inserted route: ('A3', 'ATH', 'PRG')
2024-08-28 18:12:09,423 - DEBUG - Inserted route: ('A3', 'ATH', 'RHO')
2024-08-28 18:12:09,444 - DEBUG - Inserted route: ('A3', 'ATH', 'SKG')
2024-08-28 18:12:09,466 - DEBUG - Inserted route: ('A3', 'ATH', 'SKU')
2024-08-28 18:12:09,487 - DEBUG - Inserted route: ('A3', 'ATH', 'SMI')
2024-08-28 18:12:09,511 - DEBUG - Inserted route: ('A3', 'ATH', 'SOF')
2024-08-28 18:12:09,534 - DEBUG - Inserted route: ('A3', 'ATH', 'TBS')
2024-08-28 18:12:09,557 - DEBUG - Inserted route: ('A3', 'ATH', 'TIA')
2024-08-28 18:12:09,580 - DEBUG - Inserted route: ('A3', 'ATH', 'TLV')
2024-08-28 18:12:09,600 - DEBUG - Inserted route: ('A3', 'ATH', 'TXL')
2024-08-28 18:12:09,622 - DEBUG - Inserted route: ('A3', 'ATH', 'VIE')
2024-08-28 18:12:09,642 - DEBUG - Inserted route: ('A3', 'ATH', 'WAW')
2024-08-28 18:12:09,665 - DEBUG - Inserted route: ('A3', 'ATH', 'ZTH')
2024-08-28 18:12:09,687 - DEBUG - Inserted route: ('A3', 'AUH', 'ATH')
2024-08-28 18:12:09,716 - DEBUG - Inserted route: ('A3', 'AXD', 'ATH')
2024-08-28 18:12:09,741 - DEBUG - Inserted route: ('A3', 'BCN', 'ATH')
2024-08-28 18:12:09,766 - DEBUG - Inserted route: ('A3', 'BEG', 'ATH')
2024-08-28 18:12:09,789 - DEBUG - Inserted route: ('A3', 'BOD', 'HER')
2024-08-28 18:12:09,811 - DEBUG - Inserted route: ('A3', 'BRU', 'ATH')
2024-08-28 18:12:09,831 - DEBUG - Inserted route: ('A3', 'BRU', 'HER')
2024-08-28 18:12:09,851 - DEBUG - Inserted route: ('A3', 'BUD', 'ATH')
2024-08-28 18:12:09,874 - DEBUG - Inserted route: ('A3', 'CAI', 'ATH')
2024-08-28 18:12:09,896 - DEBUG - Inserted route: ('A3', 'CDG', 'ATH')
2024-08-28 18:12:09,919 - DEBUG - Inserted route: ('A3', 'CDG', 'HER')
2024-08-28 18:12:09,940 - DEBUG - Inserted route: ('A3', 'CDG', 'RHO')
2024-08-28 18:12:09,963 - DEBUG - Inserted route: ('A3', 'CDG', 'SKG')
2024-08-28 18:12:09,986 - DEBUG - Inserted route: ('A3', 'CFU', 'ATH')
2024-08-28 18:12:10,011 - DEBUG - Inserted route: ('A3', 'CFU', 'DME')
2024-08-28 18:12:10,038 - DEBUG - Inserted route: ('A3', 'CHQ', 'ATH')
